local_name,local_capacity_mw,local_license_type,local_river,reason,candidate_count,candidate_names
Machhapuchhre Modi HEP,24.6,Survey,Modi,no_exact_normalized_name,0,
Madi-Bhorletar,10.0,Generation,Madi Khola,no_exact_normalized_name,0,
Manahari Khola HEP,9.258,Survey,Manhari,ambiguous_duplicate_normalized_name,2,Manahari Khola HEP | Manahari Khola HPP
Marshyangdi-7 Hydropower Project,54.0,Survey,Marsyangdi,no_exact_normalized_name,0,
Middle Budhiganga Hydropower Project,5.0,Survey,Budhi Ganga,no_exact_normalized_name,0,
Middle Hongukhola A Hydropower Project,22.0,Survey,Hongu Khola,no_exact_normalized_name,0,
MIddle Ingwa Khola Hydropower Project,15.0,Survey,Iwa Khola,no_exact_normalized_name,0,
Middle Mailung Hydropower Project,10.0,Survey,Mailung Khola,no_exact_normalized_name,0,
Middle Sunkoshi,3.4,Generation,Sun Koshi,no_exact_normalized_name,0,
Naugad HPP,9.5,Survey,Naugad,no_exact_normalized_name,0,
Nwa Gad,1.0,Generation,Nwa Gad,no_exact_normalized_name,0,
Nyache Khola Hydropower Project,8.76,Survey,Nyache Khola,no_exact_normalized_name,0,
Nyam Nyam,6.0,Generation,Nyam Nyam Khola,no_exact_normalized_name,0,
Parajuli Khola-1,2.15,Generation,Parajuli Khola,no_exact_normalized_name,0,
Phalakhu Khola HPP,5.0,Generation,Phalankhu Khola,ambiguous_duplicate_normalized_name,2,Phalakhu Khola HPP | Phalakhu Khola HPP
Rauje Khola HPP,4.99,Survey,Rauje Khola,ambiguous_duplicate_normalized_name,2,Rauje Khola HPP | Rauje Khola Hydropower Project
Rawa Khola HEP,3.5,Survey,Rawa,ambiguous_duplicate_normalized_name,3,Rawa Khola | Rawa Khola HPP | Rawa Khola HEP
Ribal Khola SHP,0.998,Survey,Ribal,no_exact_normalized_name,0,
Rigdi Khola Hydro Project,3.7,Survey,Rigdi,no_exact_normalized_name,0,
Rugrugad Small HEP,4.91,Survey,Rugru gad,no_exact_normalized_name,0,
Sabha Khola C HPP,4.2,Survey,Sabha Khola,no_exact_normalized_name,0,
Sani Bheri-2 HEP,23.31,Survey,Sani Bheri,no_exact_normalized_name,0,
Seti Khola HPP,30.0,Survey,Seti Khola,ambiguous_duplicate_normalized_name,3,Seti Khola HPP | Seti Khola HPP | Seti Khola HEP
Setikhola Hydroelectric Project,22.0,Survey,Seti Khola,no_exact_normalized_name,0,
Sisa Khola A Hydropower Project,2.8,Generation,Sisa,no_exact_normalized_name,0,
Supper Sabha Khola Small HPP,4.1,Survey,Sabha Khola,no_exact_normalized_name,0,
Syar Khola HPP,59.5,Survey,Syar,ambiguous_duplicate_normalized_name,2,Syar Khola Hydroelectric Project | Syar Khola Hydropower Project
Tallo Bagmati Small HPP,8.5,Survey,Bagmati,no_exact_normalized_name,0,
Tamakoshi 3,650.0,Survey,Tama Koshi,no_exact_normalized_name,0,
